x,y
520,101
892,822
389,346
510,653
188,698
649,752
885,873
842,251
598,376
95,833
802,634
148,7
208,297
852,62
245,684
737,865
34,795
142,748
410,344
12,666
922,369
624,846
567,511
653,199
883,17
526,399
273,151
825,76
646,293
983,859
542,736
699,817
285,985
456,640
832,911
179,325
366,403
618,238
725,734
855,841
367,670
741,171
715,613
691,50
137,361
950,254
409,24
452,318
125,621
151,701
271,346
875,6
42,392
86,546
486,835
945,654
514,624
83,115
725,417
531,291
737,922
826,419
767,924
487,594
150,756
326,543
854,653
699,269
780,148
812,868
893,280
586,264
957,129
210,433
776,271
751,689
451,438
109,565
113,506
150,127
235,494
326,179
708,306
966,696
361,888
991,712
613,98
436,306
900,286
379,581
860,867
252,230
686,71
769,528
978,88
146,20
221,99
232,403
678,458
754,477
